Rank,Country Name,Male Height in Cm,Female Height in Cm,Male Height in Ft,Female Height in Ft,,h per M in cm,h per F
1,Netherlands,184.18.00,170.36.00,"6,03","5,59",,"183,7944","170,3832"
2,Montenegro,183.30.00,170.36.00,"6,01","5,58",,"183,1848","170,0784"
3,Estonia,183.19.00,169.06.00,6,"5,53",,"182,88","168,5544"
4,Bosnia and Herzegovina,182.47.00,167.47.00,"6,39","5,49",,"194,7672","167,3352"
5,Iceland,182.10.00,169.31.00,"6,37","5,54",,"194,1576","168,8592"
6,Denmark,182.29.00,169.47.00,"6,37","5,56",,"194,1576","169,4688"
7,Czech Republic,181.19.00,168.36.00,"6,34","5,51",,"193,2432","167,9448"
8,Latvia,181.17.00,169.21.00,"6,34","5,54",,"193,2432","168,8592"
9,Slovakia,181.02.00,167.12.00,"6,34","5,48",,"193,2432","167,0304"
10,Slovenia,181.38.00,167.20.00,"6,34","5,49",,"193,2432","167,3352"
11,Ukraine,181.38.00,167.02.00,"6,34","5,47",,"193,2432","166,7256"
12,Croatia,181.16.00,167.20.00,"6,33","5,47",,"192,9384","166,7256"
13,Serbia,181.14.00,168.29.00,"6,33","5,52",,"192,9384","168,2496"
14,Lithuania,181.12.00,168.03.00,"6,33","5,5",,"192,9384","167,64"
15,Poland,181.09.00,166.18.00,"6,33","5,44",,"192,9384","165,8112"
16,Finland,180.57.00,166.48.00,"6,32","5,46",,"192,6336","166,4208"
17,Norway,180.48.00,166.45.00,"6,32","5,46",,"192,6336","166,4208"
18,Sweden,180.46.00,167.07.00,"6,32","5,47",,"192,6336","166,7256"
19,Germany,180.28.00,166.18.00,"6,31","5,45",,"192,3288","166,116"
20,Dominica,180.15.00,167.29.00,"6,31","5,48",,"192,3288","167,0304"
21,Bermuda,180.12.00,166.11.00,"6,3","5,45",,"192,024","166,116"
22,Puerto Rico,179.48.00,163.06.00,"6,29","5,35",,"191,7192","163,068"
23,Greece,179.26.00,166.21.00,"6,28","5,44",,"191,4144","165,8112"
24,Belgium,179.09.00,163.40.00,"6,28","5,36",,"191,4144","163,3728"
25,Ireland,179.04.00,164.50.00,"6,27","5,4",,"191,1096","164,592"
26,Lebanon,179.36.00,164.07.00,"6,27","5,37",,"191,1096","163,6776"
