"country","meanHeightMale","meanHeightFemale"
"Netherlands","183.7824","170.3612"
"Montenegro","183.3022","169.9609"
"Estonia","182.7907","168.6628"
"Bosnia and Herzegovina","182.4740","167.4704"
"Iceland","182.1016","168.9135"
"Denmark","181.8927","169.4706"
"Czech Republic","181.1866","167.9635"
"Latvia","181.1711","168.8066"
"Slovakia","181.0155","167.1228"
"Slovenia","180.9774","167.1976"
"Ukraine","180.9760","166.6227"
"Croatia","180.7589","166.8031"
"Serbia","180.7387","168.2851"
"Lithuania","180.7233","167.6299"
"Poland","180.6864","165.7761"
"Finland","180.5694","166.4751"
"Norway","180.4752","166.4483"
"Sweden","180.4567","166.6739"
"Germany","180.2812","166.1773"
"Dominica","180.1526","166.8885"
"Bermuda","179.7191","166.1101"
"Puerto Rico","179.4821","163.0573"
"Greece","179.2598","165.8131"
"Belgium","179.0933","163.4017"
"Ireland","179.0394","164.4969"
"Lebanon","178.9571","163.6705"
"Andorra","178.8426","165.5339"
"Antigua and Barbuda","178.8353","165.7237"
"Australia","178.7742","164.6657"
"Canada","178.7496","164.7299"
"Switzerland","178.7319","164.3300"
"Grenada","178.6999","165.9887"
"Belarus","178.6913","166.9286"
"France","178.6049","164.4886"
"Austria","178.5244","166.9267"
"Luxembourg","178.4614","165.0690"
"Cook Islands","178.3230","167.3086"
"French Polynesia","178.3164","166.5187"
"United Kingdom","178.2080","163.9391"
"Romania","177.8235","164.7308"
"New Zealand","177.7187","164.6600"
"Saint Vincent and the Grenadines","177.4939","165.3027"
"Niue","177.1926","167.0323"
"American Samoa","177.0945","167.5515"
"Barbados","177.0284","165.6638"
"Jamaica","176.9742","164.3193"
"United States","176.9373","163.3119"
"Tunisia","176.8534","161.6855"
"Russia","176.6490","164.5174"
"Hungary","176.5873","162.5463"
"Saint Lucia","176.4339","165.5245"
"North Macedonia","176.4252","160.8843"
"Libya","176.3925","162.5617"
"Turkey","176.3558","161.8020"
"Morocco","176.3518","161.1809"
"Senegal","176.1772","163.9241"
"Spain","176.1061","162.0279"
"Tokelau","176.0559","166.0754"
"Trinidad and Tobago","176.0333","163.3798"
"Israel","175.9836","162.2225"
"Georgia","175.9786","163.2390"
"Seychelles","175.8976","162.4656"
"Brazil","175.7295","162.4110"
"China","175.6609","163.4641"
"Iran","175.6229","161.1837"
"Moldova","175.5892","162.9612"
"South Korea","175.5219","163.2254"
"Kazakhstan","175.4969","161.7446"
"Tonga","175.1131","166.0794"
"Palestine","175.0451","161.2777"
"Algeria","175.0402","162.3472"
"Mali","175.0154","161.9892"
"Kuwait","174.9625","160.1020"
"Jordan","174.8390","159.4624"
"Hong Kong","174.8349","160.6181"
"Argentina","174.7550","161.2204"
"North Korea","174.6881","161.2175"
"Dominican Republic","174.6498","161.2094"
"Egypt","174.5695","160.8845"
"Suriname","174.5144","162.2639"
"Italy","174.4247","161.8102"
"Samoa","174.4168","163.8160"
"Bahamas","174.3971","163.4605"
"Malta","174.3768","162.9505"
"Turkmenistan","174.3726","162.8271"
"Portugal","174.3709","161.2271"
"Uruguay","174.3233","161.5585"
